baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,32,128,315826.737187,9877675721,662219,1257826759417,0.307548,65632054144,1258919236871
FALCON,64,128,381179.056913,5970272618,548929,756817467927,0.413714,117232303616,757647130858
FALCON,128,128,570879.744950,4482954404,485380,569300305384,0.474821,231573043584,570043532568
FALCON,1,1,44181.847674,44182171278,433405,42056790176,0.526441,412056304,42412060637
FALCON,2,1,54232.340721,27127089235,408760,25990420852,0.550645,382682878,26202661593
FALCON,4,1,49622.593284,12468517702,375001,11327620525,0.587951,332237093,11497816558
FALCON,8,1,73800.118877,9316497446,358582,8080559159,0.608278,398953411,8243161301
FALCON,16,1,62493.926581,3912376387,341502,2583411966,0.631300,295177361,2741355400
FALCON,32,1,91142.904478,2859224472,333359,1384235817,0.641922,309258993,1555361184
FALCON,64,1,215598.021010,3378105576,326257,1598416450,0.650260,396312715,1776761752
FALCON,128,1,526993.841248,4159956445,323095,1955747828,0.653533,473152242,2138996476
FALCON,1,2,17876.830494,17877202076,500486,30031057690,0.460367,333074800,30332279837
FALCON,2,2,18697.694232,9350437066,459942,17218353065,0.499129,415582272,17436721995
FALCON,4,2,15910.974833,3982335601,410917,6994484460,0.548163,449815406,7188220883
FALCON,8,2,22263.629181,2807945684,376016,4610315612,0.586500,473928768,4783652793
FALCON,16,2,33816.395696,2118340836,356754,3135768086,0.611013,752294780,3308434406
FALCON,32,2,61319.899316,1918629776,346939,2563324654,0.624437,811769182,2752998527
FALCON,64,2,129058.778820,2022203113,337388,2765912312,0.636785,1077988506,2961302580
FALCON,128,2,304030.511198,2383726831,328789,3344854524,0.647152,1116283820,3544146347
FALCON,1,4,47971.707103,47972042047,584943,144089761253,0.380146,1615755856,144891890806
FALCON,2,4,49130.858828,24568589052,550881,95965972276,0.411804,1274352604,96417425423
FALCON,4,4,50498.814486,12626969672,460096,48350845947,0.499416,1898628112,48669978209
FALCON,8,4,69572.747430,8720585723,411244,33800892378,0.548401,2445408704,34021433265
FALCON,16,4,76434.529976,4821725171,381754,18254420550,0.579828,2784575380,18455031193
FALCON,32,4,88493.156101,2804361207,361286,10222617841,0.604820,2684888452,10416251481
FALCON,64,4,123990.035319,1958640255,347224,6759664561,0.623751,3228050880,6962011499
FALCON,128,4,228985.726214,1801465054,337621,5846278588,0.636411,6475283792,6059536864
FALCON,1,8,49624.791618,49625204025,703286,268242937917,0.269690,2642256712,269460592611
FALCON,2,8,47331.435165,23679003054,657173,173595173933,0.312310,3233478984,174460086738
FALCON,4,8,30871.808381,7735941411,547740,60716742937,0.415041,2610187264,61013359242
FALCON,8,8,63738.353803,8006397573,465531,62525899538,0.494208,4202040488,62829010052
FALCON,16,8,77665.534438,4886538740,413193,38015967717,0.546133,5368715960,38292244506
FALCON,32,8,102735.323223,3238524756,381828,24836530855,0.579710,5573440416,25086573853
FALCON,64,8,162800.796782,2587228490,362166,19572093507,0.603963,10424179160,19804961632
FALCON,128,8,228158.796654,1792957088,348314,13122091080,0.622172,9870019952,13371223969
